i1051	00196560-a
i1052	00196664-a
i1053	00196799-a
i1054	00196934-a
i1055	00197151-s
i1056	00197247-s
i1057	00197319-s
i1058	00197447-a
i1059	00197576-a
i1060	00197773-s
i1061	00197891-s
i1062	00198147-a
i1063	00198383-s
i1064	00198610-s
i1065	00198757-s
i1066	00198904-a
i1067	00199114-s
i1068	00199463-s
i1069	00199569-a
i1070	00199811-s
i1071	00200026-a
i1072	00200258-s
i1073	00200431-s
i1074	00200529-s
i1075	00200603-s
i1076	00200760-s
i1077	00200854-s
i1078	00200979-s
i1079	00201130-a
i1080	00201259-s
i1081	00201354-a
i1082	00201722-s
i1083	00201802-s
i1084	00201961-s
i1085	00202095-s
i1086	00202250-s
i1087	00202411-s
i1088	00202508-s
i1089	00202677-s
i1090	00202772-s
i1091	00202875-s
i1092	00203030-s
i1093	00203123-s
i1094	00203237-a
i1095	00203495-s
i1096	00203614-s
i1097	00203774-a
i1098	00203917-a
i1099	00204077-a
i1100	00204249-s
i1101	00204491-a
i1102	00204779-s
i1103	00205033-s
i1104	00205150-s
i1105	00205295-s
i1106	00205696-s
i1107	00206003-a
i1108	00206127-a
i1109	00206205-a
i1110	00206317-a
i1111	00206403-a
i1112	00206627-s
i1113	00206750-s
i1114	00206900-s
i1115	00207034-s
i1116	00207133-s
i1117	00207226-s
i1118	00207305-s
i1119	00207389-s
i1120	00207467-a
i1121	00207547-a
i1122	00207706-s
i1123	00207809-s
i1124	00207887-s
i1125	00207961-a
i1126	00208052-a
i1127	00208150-a
i1128	00208229-a
i1129	00208447-s
i1130	00208613-s
i1131	00208749-s
i1132	00208872-s
i1133	00208946-a
i1134	00209079-a
i1135	00209253-s
i1136	00209390-s
i1137	00209550-a
i1138	00209620-a
i1139	00209781-s
i1140	00209916-s
i1141	00209988-s
i1142	00210079-s
i1143	00210212-a
i1144	00210281-a
i1145	00210371-a
i1146	00210446-a
i1147	00210848-s
i1148	00211026-s
i1149	00211092-s
i1150	00211221-s
i1151	00211370-s
i1152	00211444-s
i1153	00211564-s
i1154	00211735-s
i1155	00211827-s
i1156	00211916-s
i1157	00212057-s
i1158	00212173-a
i1159	00212949-s
i1160	00213071-s
i1161	00213172-s
i1162	00213387-s
i1163	00213516-s
i1164	00213610-s
i1165	00213814-s
i1166	00213933-s
i1167	00214001-s
i1168	00214165-s
i1169	00214323-s
i1170	00214461-s
i1171	00214640-s
i1172	00214812-s
i1173	00214907-s
i1174	00215087-s
i1175	00215257-s
i1176	00215344-s
i1177	00215468-s
i1178	00215564-s
i1179	00215654-s
i1180	00215745-s
i1181	00215834-s
i1182	00215929-s
i1183	00216003-s
i1184	00216079-s
i1185	00216155-s
i1186	00216308-s
i1187	00216420-s
i1188	00216560-s
i1189	00216668-s
i1190	00216858-a
i1191	00217075-s
i1192	00217183-a
i1193	00217297-a
i1194	00217428-s
i1195	00217563-a
i1196	00217728-a
i1197	00218305-s
i1198	00218440-s
i1199	00218673-s
i1200	00218837-s
i1201	00218950-s
i1202	00219389-s
i1203	00219705-s
i1204	00219809-s
i1205	00219924-s
i1206	00220082-s
i1207	00220241-s
i1208	00220341-s
i1209	00220502-s
i1210	00220600-s
i1211	00220739-s
i1212	00220956-a
i1213	00221318-s
i1214	00221469-s
i1215	00221553-s
i1216	00221627-s
i1217	00221934-s
i1218	00222147-s
i1219	00222272-s
i1220	00222449-s
i1221	00222543-s
i1222	00222662-a
i1223	00222775-s
i1224	00222873-a
i1225	00222969-a
i1226	00223119-a
i1227	00223220-a
i1228	00223375-s
i1229	00223504-s
i1230	00223582-s
i1231	00223683-a
i1232	00223802-a
i1233	00224031-s
i1234	00224166-a
i1235	00224366-s
i1236	00224515-s
i1237	00224731-a
i1238	00225099-s
i1239	00225408-s
i1240	00225564-s
